date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,id,name
2020-06-13,shot,gun,30.0,M,B,Palmdale,NY,False,attack,Not fleeing,False,-83.266,30.871,True,21,Jennifer Clark
2020-10-08,shot,gun,19.0,M,W,Wabash,NC,True,attack,Not fleeing,False,-99.468,27.47,True,22,Arthur King
2018-05-12,shot,gun,30.0,M,N,Columbus,MN,False,attack,Not fleeing,False,-121.745,37.22,True,23,Dawn Moore
2015-04-25,shot and Tasered,gun,43.0,M,W,Clermont,PA,False,attack,Foot,False,-117.269,32.977,True,24,Angela Williams
2018-06-25,shot,gun,30.0,M,W,Garland,TN,False,attack,Foot,True,-78.525,38.026,True,25,Raymond Wright
2021-09-27,shot,knife,50.0,M,B,Auburn,AZ,True,other,Not fleeing,False,-114.04,35.213,True,26,John Brown
2019-12-31,shot,,36.0,M,H,Cross Lanes,NM,False,attack,Not fleeing,False,-88.267,30.834,True,27,Amy Gomez
2022-09-28,shot,,23.0,M,W,Greenville,IN,False,attack,Not fleeing,False,-86.594,36.267,True,28,John Adams
2015-10-10,shot,gun,42.0,M,B,Lisle,AL,True,attack,Not fleeing,False,-106.586,35.081,True,29,Shari Schaefer
2018-12-05,shot,knife,37.0,M,H,Napa,FL,False,attack,Not fleeing,False,-71.878,42.056,True,30,Dr. Megan Richards
2022-08-27,shot,gun,37.0,M,H,Charleston,TX,False,attack,Not fleeing,False,-75.821,39.599,True,31,William Jacobs
2019-03-06,shot,knife,38.0,M,B,Morgantown,KY,False,attack,Not fleeing,True,-95.94,41.272,True,32,Robert Navarro
2015-07-07,shot,gun,32.0,F,W,Dallas,KY,False,attack,Foot,False,-82.341,29.612,True,33,Jacob Rodriguez
2018-08-01,shot,gun,29.0,M,H,Oxon Hill,FL,False,attack,Not fleeing,False,-112.074,33.488,True,34,William Shepherd
2017-01-18,shot,gun,59.0,M,W,Dallas,TX,True,attack,Not fleeing,False,-89.522,34.335,True,35,Andrew Padilla
2019-08-09,shot,knife,49.0,M,W,Kansas City,NY,True,other,Not fleeing,False,-118.188,33.971,True,36,Lisa Greer
2016-05-21,shot,gun,54.0,M,W,Oregon City,FL,False,attack,Not fleeing,False,-121.98,38.354,True,37,Jacob Beltran
2020-01-19,shot,gun,44.0,M,H,Sebring,AZ,False,attack,Car,False,-79.839,40.397,True,38,Kevin Lewis
2019-11-05,shot and Tasered,knife,29.0,M,W,East Cleveland,MO,False,other,Not fleeing,False,-111.841,33.254,True,39,William Kelly
2016-11-01,shot,gun,41.0,M,H,Carson City,AZ,False,attack,Foot,True,-121.998,45.359,True,40,Timothy Martin
2017-05-02,shot,gun,32.0,M,B,Austin,MD,False,attack,Not fleeing,False,-95.53,30.027,True,41,Monica Mann
2017-08-04,shot,knife,37.0,M,W,Marine City,CT,False,attack,Not fleeing,False,-93.764,32.437,True,42,Joshua Gray
2016-02-02,shot,gun,46.0,M,B,Rancho Cordova,LA,True,attack,Not fleeing,False,-121.845,39.725,True,43,Shannon Lee
2015-10-15,shot and Tasered,gun,48.0,M,B,Las Vegas,AR,True,attack,Not fleeing,False,-118.263,34.042,True,44,Olivia Carr
2021-05-31,shot,knife,30.0,M,H,San Jose,FL,False,attack,Not fleeing,False,-99.515,34.256,True,45,Tony Walker
2019-06-28,shot,,46.0,M,W,Pearl,FL,False,other,Car,False,-82.439,28.045,True,46,Mark Bell
2017-08-08,shot,gun,43.0,M,H,Dalton,TN,False,attack,Not fleeing,False,-94.76,31.36,True,47,Shannon Johnson
2016-04-13,shot,gun,59.0,M,H,Stockton,CA,False,attack,Foot,False,-82.999,40.065,True,48,Aaron Lee
2016-02-07,shot,gun,32.0,M,W,Columbus,MO,False,attack,Not fleeing,False,-73.914,40.83,True,49,Troy Evans
2015-06-05,shot,gun,48.0,M,W,Santa Maria,OH,True,attack,Not fleeing,False,-107.37,45.317,True,50,Max Lloyd
2018-02-01,shot,toy weapon,39.0,M,W,Oklahoma City,CA,False,attack,Car,False,-80.208,25.951,True,51,Samantha Wright
2015-12-05,shot and Tasered,knife,21.0,M,W,Neenah,CA,True,other,Not fleeing,False,-122.397,37.721,True,52,Daniel Doyle
2015-07-23,shot,,38.0,M,W,Meadow Vista,AL,False,other,Not fleeing,False,-116.958,33.742,True,53,Scott Avery
2020-02-17,shot,knife,27.0,M,W,Greeneville,IN,False,other,Not fleeing,False,-105.282,40.027,True,54,Jessica Sanchez
2020-12-29,shot,gun,33.0,M,B,Charleston,NJ,True,attack,Not fleeing,False,-118.255,33.808,True,55,Maria Armstrong
2016-09-06,shot,gun,18.0,M,W,Phoenix,IN,False,attack,Not fleeing,False,-82.727,38.518,True,56,James Edwards
2020-03-06,shot,knife,34.0,F,B,Fairfield,FL,True,other,Not fleeing,False,-80.127,26.245,True,57,Brittany Willis
2019-07-05,shot,gun,33.0,M,B,Mountain Grove,NC,False,attack,Not fleeing,False,-118.191,33.795,True,58,Robert Griffin
2018-08-03,shot,gun,25.0,F,B,Seville,DC,False,attack,Car,False,-117.206,32.754,True,59,David Price
2016-08-18,shot,gun,47.0,M,W,Ruidoso,WI,False,attack,Not fleeing,False,-88.519,30.359,True,60,Jimmy Navarro
2016-10-25,shot,vehicle,49.0,M,W,Little Rock,OH,False,other,Not fleeing,False,-93.602,41.565,True,61,Eric Brown
2018-04-29,shot,gun,19.0,M,W,Franklin,WA,True,attack,Not fleeing,False,-79.995,37.241,True,62,Alyssa Byrd
2016-03-15,shot,unarmed,39.0,M,B,Evansville,NY,False,other,Car,False,-89.621,40.681,True,63,Jay Buckley
2021-01-02,shot,knife,51.0,M,W,Chandler,MD,True,other,Not fleeing,False,-82.714,27.916,True,64,James Smith
2015-07-09,shot,knife,45.0,M,W,Phoenix,MN,True,attack,Not fleeing,False,-82.212,36.348,True,65,Benjamin Durham
2017-08-13,shot,,35.0,M,B,La Crosse,NC,False,other,Not fleeing,False,-101.666,33.166,True,66,Lori Johnson
2021-10-09,shot,gun,25.0,M,W,Madison County,GA,False,attack,Not fleeing,False,-111.682,40.299,True,67,Scott Preston
2020-10-24,shot,gun,58.0,M,W,Sylvester,AZ,False,attack,Not fleeing,False,-80.486,27.024,True,68,Joseph Hill
2020-05-27,shot,gun,31.0,M,W,Fullerton,UT,False,attack,Not fleeing,False,-96.069,33.371,True,69,Austin Mack
2021-08-11,shot,gun,50.0,M,W,Castaic,UT,False,attack,Not fleeing,False,-119.335,35.584,True,70,Gregory Smith
2020-04-05,shot and Tasered,hammer,62.0,M,W,Manchester,TX,True,attack,Not fleeing,False,-71.005,42.243,True,71,Kevin Oneal
2020-05-04,shot,gun,48.0,M,W,Muskogee,PA,True,attack,Not fleeing,False,-106.708,35.097,True,72,Desiree Webb
2020-09-20,shot,unarmed,32.0,M,W,Redmond,MI,False,other,Foot,False,-116.251,33.698,True,73,Amber Wilkinson
2015-12-06,shot,gun,24.0,M,B,Richmond Heights,FL,False,attack,Foot,False,-88.4,37.547,True,74,April Casey
2016-05-05,shot,gun,45.0,M,B,Milwaukee,AR,False,attack,Not fleeing,False,-86.33,32.366,True,75,Jacob Noble
2017-03-28,shot and Tasered,knife,32.0,M,H,Lafayette,CA,True,other,Not fleeing,False,-115.132,36.205,True,76,James Dillon
2021-02-23,shot,gun,58.0,M,W,Eagle Point,TN,True,attack,Not fleeing,False,-86.573,38.91,True,77,Jordan Murphy
2020-08-02,shot,gun,33.0,M,W,Sarasota,WI,False,attack,Not fleeing,False,-85.488,40.889,True,78,David Meyer
2019-05-11,shot and Tasered,unarmed,27.0,M,W,Chicago,FL,False,other,Foot,False,-73.259,42.438,True,79,Ricky Rivera
2019-01-30,shot,gun,53.0,M,H,Phoenix,AZ,False,attack,Foot,False,-119.813,39.522,True,80,Willie Welch
2021-01-20,shot,gun,28.0,M,H,Tucson,UT,False,attack,Car,False,-85.634,40.532,True,81,Matthew White
2022-05-04,shot,knife,45.0,M,H,Essex,CA,True,other,Not fleeing,False,-81.67,29.648,True,82,Brian Kelly
2017-02-16,shot,gun,30.0,M,B,Gardena,DC,True,attack,Not fleeing,False,-106.643,35.075,True,83,Joseph Nguyen
2015-10-31,shot,unarmed,34.0,M,H,Opelika,TX,False,attack,Not fleeing,False,-94.439,39.234,True,84,Catherine Kelley
2018-11-21,shot,gun,36.0,M,H,Stillwater,CA,False,attack,Not fleeing,False,-87.548,37.999,True,85,Ashley Newton
2018-04-28,shot,gun,38.0,M,B,Johns Creek,MD,False,attack,Car,False,-79.951,39.638,True,86,Jason Dillon
2016-01-27,shot,unarmed,43.0,M,H,Dearborn,CA,False,other,Not fleeing,False,-97.623,30.496,True,87,Lauren Cole
2019-07-21,shot,gun,18.0,M,H,Tacoma,NM,False,attack,Car,False,-88.229,30.762,True,88,Andrew Johnson
2016-05-18,shot,knife,54.0,M,H,New York,CA,False,other,Not fleeing,False,-94.772,35.745,True,89,Chris Cunningham
2018-04-11,shot,toy weapon,37.0,M,W,Gardena,LA,False,other,Car,False,-89.054,30.383,True,90,Dennis Knight
2017-10-29,shot,gun,31.0,M,W,Tate County,GA,False,attack,Not fleeing,False,-149.889,61.217,True,91,Rebecca Burton
2015-12-30,shot,toy weapon,40.0,M,B,Fresno,OH,False,attack,Not fleeing,False,-85.323,51.254,True,92,Kim Woods MD
2019-08-31,shot,gun,39.0,M,B,St. Louis,OH,False,attack,Not fleeing,False,-70.877,42.064,True,93,Todd Ferguson
2017-03-19,shot,gun,25.0,M,B,Gifford,FL,False,attack,Car,False,-86.442,42.116,True,94,Brianna Hill
2020-07-25,shot,gun,22.0,M,B,Salt Lake City,TX,False,attack,Not fleeing,False,-72.511,41.77,True,95,Anthony Cruz
2020-06-02,shot,gun,30.0,M,B,Vallejo,NC,True,attack,Not fleeing,False,-75.038,41.031,True,96,Mary Miranda
2016-03-07,shot,gun,57.0,M,B,Topeka,NJ,False,attack,Not fleeing,False,-95.973,35.625,True,97,Sarah Castro
2018-11-05,shot,gun,52.0,M,W,Glen Burnie,KS,False,attack,Not fleeing,False,-98.404,34.597,True,98,Jeffrey Lowery
2017-05-02,shot,gun,32.0,M,W,Austin,OK,True,attack,Not fleeing,False,-97.621,35.595,True,99,Isaac Adams
2021-09-12,shot,gun,39.0,M,W,San Antonio,NC,False,attack,Not fleeing,False,-120.202,39.2,True,100,Taylor Mccormick
2019-10-13,shot,gun,36.0,M,W,Glendale,CO,False,attack,Not fleeing,False,-87.747,41.803,True,101,Joseph Martinez
2019-09-28,shot,gun,43.0,M,W,Baltimore,AZ,True,attack,Car,False,-90.299,38.607,True,102,Christopher Todd
2017-03-26,shot and Tasered,unarmed,20.0,M,W,Delray Beach,FL,True,other,Foot,False,-84.473,33.616,True,103,Cynthia Adams MD
2018-01-16,shot,knife,33.0,M,W,Bedford,MN,True,other,Not fleeing,False,-122.417,44.756,True,104,Pamela Martinez
2019-12-15,shot,toy weapon,54.0,M,W,Minneapolis,KS,True,attack,Foot,True,-121.634,39.13,True,105,Scott Sanchez
2016-04-08,shot,,57.0,M,W,Kentwood,TX,False,attack,Car,False,-122.274,38.306,True,106,Julie Salazar
2019-01-13,shot,gun,28.0,M,W,Calabasas,FL,False,attack,Car,False,-82.488,27.303,True,107,Rebecca Ramirez
2016-09-30,shot,unarmed,39.0,M,W,Belleville,NC,False,other,Not fleeing,False,-86.802,36.142,True,108,Tony Black
2017-01-21,shot,gun,14.0,M,W,Jean,OK,False,attack,Not fleeing,False,-96.775,32.895,True,109,Clinton Estes
2016-10-10,shot,knife,37.0,M,H,Irvine,MO,True,other,Not fleeing,False,-119.748,36.736,True,110,Dylan Buck
2018-11-20,shot,gun,26.0,M,W,Magnolia,VA,True,attack,Car,False,-117.336,34.442,True,111,Andrea Craig
2020-09-24,shot,gun,28.0,M,B,Sebring,CA,False,attack,Not fleeing,False,-112.024,41.121,True,112,Stephanie Washington
2020-07-16,shot,gun,51.0,M,H,Shoreline,CA,False,attack,Foot,False,-88.212,31.623,True,113,Michael Barajas
2015-01-13,shot,hatchet,34.0,M,B,Albuquerque,WA,True,other,Not fleeing,False,-96.155,36.076,True,114,Ann Thomas
2015-06-08,shot and Tasered,unarmed,57.0,M,B,Anaheim,IL,True,other,Not fleeing,False,-88.093,41.805,True,115,Kathleen Wilson
2015-03-22,shot,gun,40.0,M,B,Portland,SC,False,attack,Not fleeing,False,-112.302,33.6,True,116,Matthew Snow
2022-05-18,shot,gun,37.0,M,H,Atlanta,AZ,False,attack,Not fleeing,False,-103.128,32.704,True,117,Kurt Holland
2022-10-12,shot,toy weapon,21.0,M,W,Philadelphia,FL,True,attack,Not fleeing,False,-89.039,30.4,True,118,William Horton
2015-09-25,shot,gun,50.0,M,W,Akron,KY,False,attack,Not fleeing,False,-82.053,29.168,True,119,Andrew Strong
2020-01-28,shot,unarmed,54.0,M,W,Scottsdale,WI,False,other,Foot,False,-77.64,43.161,True,120,Richard Dillon
2021-03-07,shot,gun,44.0,F,H,Sparkman,TX,False,attack,Not fleeing,False,-97.063,36.134,True,121,Lisa Brown
2016-01-14,shot,toy weapon,35.0,M,B,Hurst,VA,False,attack,Foot,False,-88.941,37.731,True,122,Michael Davenport
2017-10-12,shot,,48.0,M,H,Flagstaff,CA,False,other,Not fleeing,False,-75.176,40.038,True,123,Scott Smith
2018-10-08,shot,knife,36.0,M,H,Okarche,TX,True,other,Not fleeing,False,-122.402,47.186,True,124,Rebecca Stevens
2020-09-18,shot,unarmed,40.0,M,H,Stanton,FL,False,other,Not fleeing,False,-82.284,34.917,True,125,James Brown MD
2015-02-04,shot,gun,37.0,M,W,Orlando,GA,False,attack,Not fleeing,False,-114.704,42.776,True,126,Daniel Martinez
2017-07-04,shot,gun,30.0,M,W,Vandalia,CA,True,attack,Not fleeing,False,-72.419,41.285,True,127,Sean Lee
2016-01-28,shot,gun,39.0,M,W,Clackamas County,GA,False,attack,Car,False,-72.356,43.384,True,128,Jacob Stone
2021-06-28,shot,gun,39.0,M,B,Siskiyou County,AR,False,attack,Not fleeing,False,-94.723,31.345,True,129,Matthew Munoz
2016-01-01,shot,knife,31.0,M,W,San Diego,IN,False,attack,Not fleeing,False,-122.324,37.988,True,130,Amber Nunez
2018-01-06,shot,gun,28.0,M,B,Birmingham,WV,False,attack,Not fleeing,False,-85.647,42.906,True,131,Jessica Dixon
2017-05-09,shot,gun,34.0,M,B,Lexington,VA,True,attack,Not fleeing,False,-87.95,42.924,True,132,Deborah Vega
2016-10-08,shot,knife,31.0,M,W,Federal Way,MO,False,other,Not fleeing,False,-106.444,31.813,True,133,Robert Osborne
2015-08-15,shot,gun,26.0,M,W,Carson City,TX,False,attack,Foot,False,-76.133,39.579,True,134,Christopher Hebert
2016-06-12,shot,gun,27.0,M,H,Orlando,IL,False,attack,Not fleeing,False,-72.995,41.545,True,135,Eric Howard
2021-03-25,shot and Tasered,knife,20.0,M,W,King George County,IL,False,attack,Car,False,-73.879,40.924,True,136,Daniel Ramirez
2018-02-01,shot and Tasered,unarmed,37.0,M,W,Oklahoma City,NH,False,other,Not fleeing,False,-88.093,41.805,True,137,Tiffany Butler
2022-10-13,shot and Tasered,knife,25.0,M,H,Topeka,FL,True,attack,Not fleeing,False,-82.01,28.981,True,138,Courtney Sharp
2016-09-06,shot,,21.0,M,H,Omaha,IL,False,other,Car,False,-97.133,33.215,True,139,Jessica Ali
2020-05-09,shot,gun,30.0,M,B,Silver Spring,MD,True,attack,Not fleeing,False,-104.834,38.814,True,140,Rita Tucker
2019-03-22,shot,gun,68.0,M,W,Ernul,TX,False,attack,Foot,False,-117.238,47.683,True,141,Nicholas Larson
2016-06-12,shot,knife,84.0,M,W,Eagle Mountain,CO,False,other,Not fleeing,False,-83.197,31.066,True,142,Bradley Manning
2017-11-08,shot,unarmed,58.0,M,B,Roanoke,TX,False,other,Not fleeing,False,-118.428,34.259,True,143,Albert Mclaughlin
2015-02-07,shot,gun,51.0,M,B,Calimesa,MN,False,attack,Car,False,-95.173,29.806,True,144,Maria Watson
2016-01-27,shot and Tasered,unarmed,23.0,M,W,Lenoir City,VA,False,other,Not fleeing,False,-117.222,34.123,True,145,Chad Gordon
2017-07-06,shot,unarmed,29.0,M,B,Plant City,NV,False,other,Not fleeing,False,-80.365,27.311,True,146,Charles Wilkinson
2016-08-02,shot,gun,35.0,M,B,Palm Bay,GA,False,attack,Not fleeing,False,-116.394,43.601,True,147,Robert Ross
2019-07-14,shot,unarmed,29.0,M,W,Hollywood,GA,False,other,Car,False,-95.161,29.69,True,148,Travis Fletcher
2015-04-04,shot,knife,49.0,M,B,Zion,MN,False,other,Not fleeing,False,-84.239,39.752,True,149,Christina Weber
2015-06-17,shot,gun,53.0,M,N,Clanton,CA,False,attack,Car,False,-82.894,38.344,True,150,Amanda French
2021-07-20,shot,gun,32.0,M,W,Phoenix,UT,True,attack,Car,False,-147.716,64.838,True,151,Maria Harris
2019-07-16,shot,gun,18.0,M,W,Porterdale,MN,False,attack,Car,False,-88.29,31.066,True,152,Brett Stanley
2020-01-13,shot and Tasered,unarmed,28.0,M,B,San Antonio,GA,False,attack,Not fleeing,True,-120.954,47.197,True,153,Keith Donaldson
2015-12-04,shot,gun,62.0,M,H,Mount Washington,CA,False,attack,Not fleeing,False,-79.931,37.298,True,154,Anna Murphy
2020-12-24,shot,gun,41.0,F,W,Redding,OR,False,attack,Not fleeing,False,-87.572,41.761,True,155,James Harrell
2019-10-30,shot and Tasered,unarmed,63.0,M,B,Lancaster,WI,True,attack,Not fleeing,True,-118.289,33.921,True,156,Michael Bentley
2019-09-02,shot,gun,23.0,M,H,Missoula,TX,False,other,Foot,False,-86.043,38.879,True,157,Charles Benitez
2017-05-15,shot,gun,41.0,M,B,Johnson City,IL,False,attack,Not fleeing,False,-88.093,41.805,True,158,Julie Howard
2021-01-10,shot,knife,24.0,M,W,Bentonville,TX,False,attack,Not fleeing,False,-92.127,34.865,True,159,Jeffrey Allen
2018-12-16,shot,unarmed,41.0,M,W,Mesa,MS,False,other,Not fleeing,False,-85.119,30.928,True,160,John Davis
2022-04-04,shot,gun,53.0,M,W,Grand Rapids,OH,False,attack,Not fleeing,False,-112.302,33.6,True,161,Meghan Reynolds
2019-11-04,shot,knife,56.0,M,B,Two Rivers,TN,True,other,Not fleeing,False,-96.977,32.8,True,162,Brent Fernandez
2017-11-09,shot,unarmed,54.0,M,B,Salisbury,MD,False,other,Car,False,-118.338,33.823,True,163,Natalie Rowland
2020-01-15,shot,gun,32.0,M,B,Fleetwood,CA,False,attack,Not fleeing,False,-89.93,35.203,True,164,Dawn Singh
2020-10-08,shot,unarmed,59.0,M,W,New York,IL,False,attack,Foot,False,-82.999,39.961,True,165,Lisa Blake
2022-03-01,shot,unarmed,47.0,M,A,Jacksonville,HI,False,other,Foot,False,-87.328,41.542,True,166,Wendy Flores
2019-02-10,shot,,24.0,M,W,Waukesha,FL,False,other,Not fleeing,False,-80.726,35.37,True,167,Matthew Atkinson
2020-05-07,shot,gun,36.0,M,W,Long Beach,OH,False,attack,Not fleeing,False,-91.15,30.495,True,168,Patricia Schaefer
2020-07-07,shot,knife,28.0,M,H,Fresno,IL,True,other,Not fleeing,True,-73.854,40.819,True,169,John Davis
2018-03-01,shot,gun,25.0,M,W,Tucson,KY,False,attack,Not fleeing,False,-121.991,37.811,True,170,Luis Fuller
2019-12-27,shot,,26.0,M,B,Newport News,IL,False,attack,Car,False,-112.076,33.462,True,171,Javier Chambers
2016-11-29,shot,unarmed,29.0,M,W,Avon,NE,True,other,Not fleeing,False,-86.615,34.803,True,172,Amanda Huber
2022-06-01,shot,gun,38.0,M,N,Lubbock,MN,False,attack,Not fleeing,False,-93.238,38.705,True,173,Jason Gould
2019-02-02,shot,gun,30.0,M,B,Flagstaff,DE,False,attack,Not fleeing,False,-111.828,40.63,True,174,Larry Kline
2016-02-05,shot,gun,18.0,M,W,Seaside,NV,False,attack,Not fleeing,False,-83.347,42.239,True,175,Christina Morgan
2018-09-05,shot,gun,28.0,M,B,Morris,TN,False,attack,Not fleeing,True,-95.993,36.09,True,176,Brian Smith
2020-08-29,shot,gun,23.0,M,H,Holly Hill,GA,False,attack,Not fleeing,False,-122.775,45.005,True,177,Olivia Perry
2021-05-11,shot,knife,16.0,F,B,Stockton,TX,False,attack,Not fleeing,True,-119.488,46.263,True,178,Julie Wilson DDS
2016-03-22,shot,sword,44.0,F,W,Miami,MT,True,other,Car,False,-81.089,32.057,True,179,Brooke Deleon
2016-04-08,shot,,21.0,M,W,Lake Hallie,AL,False,other,Not fleeing,False,-118.171,33.875,True,180,James Price
2015-12-14,shot,gun,16.0,M,B,New Orleans,VA,True,attack,Not fleeing,False,-89.356,43.071,True,181,Michael Dunn
2018-12-10,shot,gun,35.0,M,A,Noble County,AR,False,attack,Not fleeing,False,-88.19,34.812,True,182,Dwayne Stone
2019-12-11,shot,toy weapon,36.0,M,W,Nelson Township,FL,True,attack,Not fleeing,False,-85.879,42.363,True,183,Robert Morgan
2016-11-28,shot,gun,30.0,M,W,Columbus,TN,False,attack,Not fleeing,False,-121.324,38.648,True,184,Riley Sanchez
2019-06-11,shot,gun,23.0,M,H,Orlando,UT,True,attack,Not fleeing,False,-78.098,38.522,True,185,Erik Thomas
2022-05-03,shot,,57.0,M,H,Los Angeles,AZ,False,other,Not fleeing,False,-118.139,34.015,True,186,Kayla Anthony
2016-01-30,shot,unarmed,18.0,M,B,Sugar Creek,CA,True,other,Not fleeing,False,-80.45,27.615,True,187,Jordan Sanchez
2015-12-05,shot,gun,43.0,M,B,St. Louis,LA,False,other,Other,False,-82.205,41.442,True,188,Matthew Fleming
2020-08-12,shot,gun,39.0,F,W,Reseda,NY,False,attack,Not fleeing,False,-94.432,31.375,True,189,Michael Blanchard
2022-03-02,shot,knife,63.0,M,W,Oklahoma City,LA,False,attack,Not fleeing,False,-80.876,35.398,True,190,Andres Herrera
2019-01-24,shot,unarmed,36.0,M,B,St. Louis,FL,False,other,Foot,False,-87.32,41.577,True,191,Angela Cooley
2016-11-18,shot,knife,27.0,M,W,Fort Walton Beach,NE,False,other,Not fleeing,False,-80.641,28.028,True,192,Vickie Ray
2020-02-14,shot,gun,37.0,M,B,Silverton,FL,False,attack,Car,False,-118.457,34.235,True,193,Jessica Mccullough
2017-02-02,shot,gun,37.0,M,W,Orange Park,TX,True,attack,Not fleeing,False,-89.93,35.203,True,194,Isabel Anderson
2017-09-17,shot,machete,45.0,M,W,Los Angeles,FL,False,other,Not fleeing,False,-122.409,47.233,True,195,Lisa Hoffman
2018-02-28,shot,gun,36.0,M,B,Orlando,UT,True,attack,Not fleeing,False,-106.559,35.08,True,196,Jose Williams
2016-12-22,shot,gun,23.0,M,W,Capitol Heights,TX,True,attack,Not fleeing,False,-93.763,41.588,True,197,Kenneth Thomas
2018-02-04,shot,gun,41.0,M,W,Los Angeles,TX,True,attack,Not fleeing,False,-122.024,37.568,True,198,Rebecca Peters
2015-07-26,shot,gun,72.0,M,B,Shreveport,OH,False,attack,Foot,False,-96.665,34.782,True,199,Stephanie Patrick
2018-07-23,shot,vehicle,69.0,M,W,Silver Spring,CA,True,other,Not fleeing,False,-87.861,30.421,True,200,Michael Simmons
2020-04-15,shot,gun,31.0,F,B,Blair,NM,True,attack,Not fleeing,False,-87.904,42.968,True,201,Mr. Michael Jones
2021-02-15,shot,unarmed,43.0,M,B,Indian Wells,PA,False,other,Car,False,-81.685,28.84,True,202,Kristi Stewart
2018-12-01,shot,gun,43.0,M,B,Tamarac,LA,False,attack,Not fleeing,False,-90.824,43.942,True,203,Benjamin Diaz
2015-02-23,shot,gun,46.0,M,W,Omaha,LA,False,attack,Not fleeing,False,-96.717,32.713,True,204,Victor Murphy
2019-04-16,shot,knife,39.0,M,H,Montesano,NY,False,other,Not fleeing,False,-120.947,37.584,True,205,Melissa Greer
2016-09-07,shot,box cutter,41.0,M,B,Wyoming,TX,True,other,Not fleeing,True,-93.339,38.689,True,206,Nicole Campbell
2017-08-07,shot,unarmed,38.0,F,B,Wichita,FL,False,attack,Not fleeing,False,-119.78,36.862,True,207,John Torres
2018-03-06,shot,gun,59.0,M,W,North Manchester,NY,False,attack,Not fleeing,True,-95.956,41.179,True,208,Richard Jackson
2021-07-17,shot,gun,23.0,M,W,Las Vegas,TX,False,attack,Car,False,-76.916,38.865,True,209,Rachel Escobar
2020-02-25,shot,unarmed,39.0,F,W,Pocatello,IN,True,attack,Not fleeing,False,-121.01,37.633,True,210,Emily Williams
2020-01-05,shot,gun,31.0,M,H,Sparks,TX,False,attack,Not fleeing,False,-95.486,30.309,True,211,Tammy Wright
2015-06-26,shot,machete,34.0,M,W,Malone,AL,True,attack,Not fleeing,False,-76.751,40.002,True,212,Megan Jackson
2019-03-09,shot,gun,58.0,M,H,Cheatham County,OR,False,attack,Not fleeing,False,-89.025,42.523,True,213,James Wright
2018-06-17,shot,gun,40.0,M,W,South Salt Lake,FL,False,attack,Car,False,-108.51,45.779,True,214,Dustin Cook
