manner_of_death,armed,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,city,age,city,gender,longitude,latitude,race,state,name,id
shot,toy weapon,False,attack,Car,False,True,Oklahoma City,35.1,Phoenix,M,-72.1872,23.3559,H,CA,Samantha Wright,51
shot and Tasered,knife,True,other,Not fleeing,False,True,Neenah,18.9,Phoenix,M,-110.1573,33.948899999999995,H,CA,Daniel Doyle,52
shot,,False,other,Not fleeing,False,True,Meadow Vista,34.2,Jacksonville,M,-105.2622,30.367799999999995,W,CA,Scott Avery,53
shot,knife,False,other,Not fleeing,False,True,Greeneville,24.3,Jacksonville,M,-94.7538,36.024300000000004,W,CA,Jessica Sanchez,54
shot,gun,True,attack,Not fleeing,False,True,Charleston,29.7,Charlotte,M,-106.4295,30.4272,B,CA,Maria Armstrong,55
shot,gun,False,attack,Not fleeing,False,True,Phoenix,16.2,Jacksonville,M,-74.4543,34.6662,W,CA,James Edwards,56
shot,knife,True,other,Not fleeing,False,True,Fairfield,30.6,Phoenix,M,-72.1143,23.6205,W,CA,Brittany Willis,57
shot,gun,False,attack,Not fleeing,False,True,Mountain Grove,29.7,San Antonio,M,-106.3719,30.4155,W,CA,Robert Griffin,58
shot,gun,False,attack,Car,False,True,Seville,22.5,Los Angeles,M,-105.4854,29.4786,B,CA,David Price,59
shot,gun,False,attack,Not fleeing,False,True,Ruidoso,42.3,Bakersfield,M,-79.6671,27.3231,W,CA,Jimmy Navarro,60
shot,vehicle,False,other,Not fleeing,False,True,Little Rock,44.1,Bakersfield,M,-84.2418,37.4085,W,CA,Eric Brown,61
shot,gun,True,attack,Not fleeing,False,True,Franklin,17.1,Las Vegas,M,-71.9955,33.5169,W,CA,Alyssa Byrd,62
shot,unarmed,False,other,Car,False,True,Evansville,35.1,San Antonio,M,-80.65889999999999,36.6129,W,CA,Jay Buckley,63
shot,knife,True,other,Not fleeing,False,True,Chandler,45.9,Las Vegas,M,-74.4426,25.1244,B,CA,James Smith,64
shot,knife,True,attack,Not fleeing,False,True,Phoenix,40.5,Ashville,M,-73.99080000000001,32.7132,W,CA,Benjamin Durham,65
shot,,False,other,Not fleeing,False,True,La Crosse,31.5,San Antonio,M,-91.4994,29.8494,W,CA,Lori Johnson,66
shot,gun,False,attack,Not fleeing,False,True,Madison County,22.5,Phoenix,M,-100.5138,36.2691,W,CA,Scott Preston,67
shot,gun,False,attack,Not fleeing,False,True,Sylvester,52.2,Los Angeles,M,-72.4374,24.3216,H,CA,Joseph Hill,68
shot,gun,False,attack,Not fleeing,False,True,Fullerton,27.9,Los Angeles,M,-86.4621,30.033900000000003,W,CA,Austin Mack,69
shot,gun,False,attack,Not fleeing,False,True,Castaic,45.0,Los Angeles,M,-107.4015,32.025600000000004,W,CA,Gregory Smith,70
shot and Tasered,hammer,True,attack,Not fleeing,False,True,Manchester,55.8,Los Angeles,M,-63.9045,38.0187,W,CA,Kevin Oneal,71
shot,gun,True,attack,Not fleeing,False,True,Muskogee,43.2,Los Angeles,M,-96.0372,31.5873,W,CA,Desiree Webb,72
shot,unarmed,False,other,Foot,False,True,Redmond,28.8,Los Angeles,M,-104.6259,30.3282,W,CA,Amber Wilkinson,73
shot,gun,False,attack,Foot,False,True,Richmond Heights,21.6,Phoenix,M,-79.56,33.7923,W,CA,April Casey,74
shot,gun,False,attack,Not fleeing,False,True,Milwaukee,40.5,Arlington,M,-77.697,29.1294,W,CA,Jacob Noble,75
shot and Tasered,knife,True,other,Not fleeing,False,True,Lafayette,28.8,Phoenix,M,-103.6188,32.5845,H,CA,James Dillon,76
shot,gun,True,attack,Not fleeing,False,True,Eagle Point,52.2,Houston,M,-77.91569999999999,35.019,W,CA,Jordan Murphy,77
shot,gun,False,attack,Not fleeing,False,True,Sarasota,29.7,Bakersfield,M,-76.9392,36.8001,W,CA,David Meyer,78
shot and Tasered,unarmed,False,other,Foot,False,True,Chicago,24.3,Phoenix,M,-65.9331,38.1942,W,CA,Ricky Rivera,79
shot,gun,False,attack,Foot,False,True,Phoenix,47.7,Los Angeles,M,-107.8317,35.5698,H,CA,Willie Welch,80
shot,gun,False,attack,Car,False,True,Tucson,25.2,Los Angeles,M,-77.0706,36.4788,W,CA,Matthew White,81
shot,knife,True,other,Not fleeing,False,True,Essex,40.5,Phoenix,M,-73.503,26.6832,H,CA,Brian Kelly,82
shot,gun,True,attack,Not fleeing,False,True,Gardena,27.0,Los Angeles,M,-95.9787,31.567500000000003,B,CA,Joseph Nguyen,83
shot,unarmed,False,attack,Not fleeing,False,True,Opelika,30.6,Los Angeles,M,-84.9951,35.3106,W,CA,Catherine Kelley,84
shot,gun,False,attack,Not fleeing,False,True,Stillwater,32.4,Phoenix,M,-78.7932,34.1991,H,CA,Ashley Newton,85
shot,gun,False,attack,Car,False,True,Johns Creek,34.2,Las Vegas,M,-71.9559,35.6742,B,CA,Jason Dillon,86
shot,unarmed,False,other,Not fleeing,False,True,Dearborn,38.7,Phoenix,M,-87.86070000000001,27.4464,H,CA,Lauren Cole,87
shot,gun,False,attack,Car,False,True,Tacoma,16.2,Chicago,M,-79.4061,27.6858,H,CA,Andrew Johnson,88
shot,knife,False,other,Not fleeing,False,True,New York,48.6,Phoenix,M,-85.29480000000001,32.1705,H,CA,Chris Cunningham,89
shot,toy weapon,False,other,Car,False,True,Gardena,33.3,Los Angeles,M,-80.1486,27.3447,B,CA,Dennis Knight,90
shot,gun,False,attack,Not fleeing,False,True,Tate County,27.9,Phoenix,M,-134.9001,55.0953,W,CA,Rebecca Burton,91
shot,toy weapon,False,attack,Not fleeing,False,True,Fresno,36.0,Bakersfield,M,-76.79069999999999,46.1286,W,CA,Kim Woods MD,92
shot,gun,False,attack,Not fleeing,False,True,St. Louis,35.1,Bakersfield,M,-63.7893,37.8576,W,CA,Todd Ferguson,93
shot,gun,False,attack,Car,False,True,Gifford,22.5,Phoenix,M,-77.7978,37.9044,W,CA,Brianna Hill,94
shot,gun,False,attack,Not fleeing,False,True,Salt Lake City,19.8,Los Angeles,M,-65.2599,37.593,W,CA,Anthony Cruz,95
shot,gun,True,attack,Not fleeing,False,True,Vallejo,27.0,San Antonio,M,-67.5342,36.9279,W,CA,Mary Miranda,96
shot,gun,False,attack,Not fleeing,False,True,Topeka,51.3,Charlotte,M,-86.3757,32.0625,B,CA,Sarah Castro,97
shot,gun,False,attack,Not fleeing,False,True,Glen Burnie,46.8,Columbus,M,-88.5636,31.1373,W,CA,Jeffrey Lowery,98
shot,gun,True,attack,Not fleeing,False,True,Austin,28.8,Houston,M,-87.85889999999999,32.0355,W,CA,Isaac Adams,99
shot,gun,False,attack,Not fleeing,False,True,San Antonio,35.1,San Antonio,M,-108.1818,35.28,W,CA,Taylor Mccormick,100
shot,gun,False,attack,Not fleeing,False,True,Glendale,32.4,Los Angeles,M,-78.9723,37.6227,W,CA,Joseph Martinez,101
shot,gun,True,attack,Car,False,True,Baltimore,38.7,Los Angeles,M,-81.26910000000001,34.7463,H,CA,Christopher Todd,102
shot and Tasered,unarmed,True,other,Foot,False,True,Delray Beach,18.0,Phoenix,M,-76.0257,30.2544,W,CA,Cynthia Adams MD,103
shot,knife,True,other,Not fleeing,False,True,Bedford,29.7,Ashville,M,-110.1753,40.2804,W,CA,Pamela Martinez,104
shot,toy weapon,True,attack,Foot,True,True,Minneapolis,48.6,Columbus,M,-109.4706,35.217,W,CA,Scott Sanchez,105
shot,,False,attack,Car,False,True,Kentwood,51.3,Los Angeles,M,-110.0466,34.4754,W,CA,Julie Salazar,106
shot,gun,False,attack,Car,False,True,Calabasas,25.2,Phoenix,M,-74.2392,24.5727,W,CA,Rebecca Ramirez,107
shot,unarmed,False,other,Not fleeing,False,True,Belleville,35.1,San Antonio,M,-78.12180000000001,32.5278,W,CA,Tony Black,108
shot,gun,False,attack,Not fleeing,False,True,Jean,12.6,Houston,M,-87.0975,29.605500000000003,W,CA,Clinton Estes,109
shot,knife,True,other,Not fleeing,False,True,Irvine,33.3,Phoenix,M,-107.7732,33.0624,W,CA,Dylan Buck,110
shot,gun,True,attack,Car,False,True,Magnolia,23.4,Albuquerque,M,-105.6024,30.9978,W,CA,Andrea Craig,111
shot,gun,False,attack,Not fleeing,False,True,Sebring,25.2,Phoenix,M,-100.8216,37.0089,H,CA,Stephanie Washington,112
shot,gun,False,attack,Foot,False,True,Shoreline,45.9,Phoenix,M,-79.3908,28.460700000000003,H,CA,Michael Barajas,113
shot,hatchet,True,other,Not fleeing,False,True,Albuquerque,30.6,Las Vegas,M,-86.5395,32.4684,W,CA,Ann Thomas,114
shot and Tasered,unarmed,True,other,Not fleeing,False,True,Anaheim,51.3,Oklahoma City,M,-79.28370000000001,37.6245,B,CA,Kathleen Wilson,115
shot,gun,False,attack,Not fleeing,False,True,Portland,36.0,Tucson,M,-101.0718,30.24,W,CA,Matthew Snow,116
shot,gun,False,attack,Not fleeing,False,True,Atlanta,33.3,Los Angeles,M,-92.8152,29.4336,H,CA,Kurt Holland,117
shot,toy weapon,True,attack,Not fleeing,False,True,Philadelphia,18.9,Phoenix,M,-80.1351,27.36,W,CA,William Horton,118
shot,gun,False,attack,Not fleeing,False,True,Akron,45.0,Orlando,M,-73.8477,26.2512,W,CA,Andrew Strong,119
shot,unarmed,False,other,Foot,False,True,Scottsdale,48.6,Bakersfield,M,-69.876,38.8449,W,CA,Richard Dillon,120
shot,gun,False,attack,Not fleeing,False,True,Sparkman,39.6,Los Angeles,M,-87.3567,32.5206,W,CA,Lisa Brown,121
shot,toy weapon,False,attack,Foot,False,True,Hurst,31.5,Albuquerque,M,-80.04690000000001,33.9579,W,CA,Michael Davenport,122
shot,,False,other,Not fleeing,False,True,Flagstaff,43.2,Phoenix,M,-67.6584,36.0342,H,CA,Scott Smith,123
shot,knife,True,other,Not fleeing,False,True,Okarche,32.4,Los Angeles,M,-110.1618,42.4674,W,CA,Rebecca Stevens,124
shot,unarmed,False,other,Not fleeing,False,True,Stanton,36.0,Phoenix,M,-74.0556,31.4253,W,CA,James Brown MD,125
shot,gun,False,attack,Not fleeing,False,True,Orlando,33.3,Phoenix,M,-103.2336,38.4984,W,CA,Daniel Martinez,126
shot,gun,True,attack,Not fleeing,False,True,Vandalia,27.0,Phoenix,M,-65.1771,37.1565,H,CA,Sean Lee,127
shot,gun,False,attack,Car,False,True,Clackamas County,35.1,Phoenix,M,-65.12039999999999,39.0456,W,CA,Jacob Stone,128
shot,gun,False,attack,Not fleeing,False,True,Siskiyou County,35.1,Arlington,M,-85.2507,28.2105,W,CA,Matthew Munoz,129
shot,knife,False,attack,Not fleeing,False,True,San Diego,27.9,Jacksonville,M,-110.0916,34.1892,W,CA,Amber Nunez,130
shot,gun,False,attack,Not fleeing,False,True,Birmingham,25.2,Las Vegas,M,-77.0823,38.6154,W,CA,Jessica Dixon,131
shot,gun,True,attack,Not fleeing,False,True,Lexington,30.6,Albuquerque,M,-79.155,38.6316,W,CA,Deborah Vega,132
shot,knife,False,other,Not fleeing,False,True,Federal Way,27.9,Phoenix,M,-95.7996,28.6317,W,CA,Robert Osborne,133
shot,gun,False,attack,Foot,False,True,Carson City,23.4,Los Angeles,M,-68.5197,35.6211,W,CA,Christopher Hebert,134
shot,gun,False,attack,Not fleeing,False,True,Orlando,24.3,Oklahoma City,M,-65.69550000000001,37.3905,B,CA,Eric Howard,135
shot and Tasered,knife,False,attack,Car,False,True,King George County,18.0,Oklahoma City,M,-66.4911,36.8316,B,CA,Daniel Ramirez,136
shot and Tasered,unarmed,False,other,Not fleeing,False,True,Oklahoma City,33.3,Assaria,M,-79.28370000000001,37.6245,W,CA,Tiffany Butler,137
shot and Tasered,knife,True,attack,Not fleeing,False,True,Topeka,22.5,Phoenix,M,-73.809,26.0829,W,CA,Courtney Sharp,138
shot,,False,other,Car,False,True,Omaha,18.9,Oklahoma City,M,-87.41969999999999,29.893500000000003,B,CA,Jessica Ali,139
shot,gun,True,attack,Not fleeing,False,True,Silver Spring,27.0,Las Vegas,M,-94.3506,34.9326,B,CA,Rita Tucker,140
shot,gun,False,attack,Foot,False,True,Ernul,61.2,Los Angeles,M,-105.5142,42.9147,W,CA,Nicholas Larson,141
shot,knife,False,other,Not fleeing,False,True,Eagle Mountain,75.6,Los Angeles,M,-74.8773,27.9594,W,CA,Bradley Manning,142
shot,unarmed,False,other,Not fleeing,False,True,Roanoke,52.2,Los Angeles,M,-106.5852,30.8331,W,CA,Albert Mclaughlin,143
shot,gun,False,attack,Car,False,True,Calimesa,45.9,Ashville,M,-85.6557,26.8254,W,CA,Maria Watson,144
shot and Tasered,unarmed,False,other,Not fleeing,False,True,Lenoir City,20.7,Albuquerque,M,-105.4998,30.7107,W,CA,Chad Gordon,145
shot,unarmed,False,other,Not fleeing,False,True,Plant City,26.1,Los Angeles,M,-72.32849999999999,24.5799,W,CA,Charles Wilkinson,146
shot,gun,False,attack,Not fleeing,False,True,Palm Bay,31.5,Phoenix,M,-104.7546,39.2409,W,CA,Robert Ross,147
shot,unarmed,False,other,Car,False,True,Hollywood,26.1,Phoenix,M,-85.6449,26.721,W,CA,Travis Fletcher,148
shot,knife,False,other,Not fleeing,False,True,Zion,44.1,Ashville,M,-75.8151,35.7768,W,CA,Christina Weber,149
shot,gun,False,attack,Car,False,True,Clanton,47.7,Phoenix,M,-74.6046,34.5096,H,CA,Amanda French,150
shot,gun,True,attack,Car,False,True,Phoenix,28.8,Los Angeles,M,-132.9444,58.35419999999999,W,CA,Maria Harris,151
shot,gun,False,attack,Car,False,True,Porterdale,16.2,Ashville,M,-79.46100000000001,27.9594,W,CA,Brett Stanley,152
shot and Tasered,unarmed,False,attack,Not fleeing,True,True,San Antonio,25.2,Phoenix,M,-108.8586,42.4773,W,CA,Keith Donaldson,153
shot,gun,False,attack,Not fleeing,False,True,Mount Washington,55.8,Phoenix,M,-71.9379,33.568200000000004,H,CA,Anna Murphy,154
shot,gun,False,attack,Not fleeing,False,True,Redding,36.9,Arlington,M,-78.8148,37.584900000000005,W,CA,James Harrell,155
shot and Tasered,unarmed,True,attack,Not fleeing,True,True,Lancaster,56.7,Bakersfield,M,-106.4601,30.5289,W,CA,Michael Bentley,156
shot,gun,False,other,Foot,False,True,Missoula,20.7,Los Angeles,M,-77.43870000000001,34.9911,W,CA,Charles Benitez,157
shot,gun,False,attack,Not fleeing,False,True,Johnson City,36.9,Oklahoma City,M,-79.28370000000001,37.6245,B,CA,Julie Howard,158
shot,knife,False,attack,Not fleeing,False,True,Bentonville,21.6,Los Angeles,M,-82.9143,31.378500000000003,W,CA,Jeffrey Allen,159
shot,unarmed,False,other,Not fleeing,False,True,Mesa,36.9,Atlanta,M,-76.6071,27.8352,B,CA,John Davis,160
shot,gun,False,attack,Not fleeing,False,True,Grand Rapids,47.7,Bakersfield,M,-101.0718,30.24,W,CA,Meghan Reynolds,161
shot,knife,True,other,Not fleeing,False,True,Two Rivers,50.4,Houston,M,-87.2793,29.52,W,CA,Brent Fernandez,162
shot,unarmed,False,other,Car,False,True,Salisbury,48.6,Las Vegas,M,-106.5042,30.4407,B,CA,Natalie Rowland,163
shot,gun,False,attack,Not fleeing,False,True,Fleetwood,28.8,Phoenix,M,-80.93700000000001,31.682700000000004,H,CA,Dawn Singh,164
shot,unarmed,False,attack,Foot,False,True,New York,53.1,Oklahoma City,M,-74.6991,35.9649,B,CA,Lisa Blake,165
shot,unarmed,False,other,Foot,False,True,Jacksonville,42.3,Lincoln,M,-78.5952,37.3878,A,CA,Wendy Flores,166
shot,,False,other,Not fleeing,False,True,Waukesha,21.6,Phoenix,M,-72.6534,31.833,W,CA,Matthew Atkinson,167
shot,gun,False,attack,Not fleeing,False,True,Long Beach,32.4,Bakersfield,M,-82.03500000000001,27.445500000000003,W,CA,Patricia Schaefer,168
shot,knife,True,other,Not fleeing,True,True,Fresno,25.2,Oklahoma City,M,-66.4686,36.737100000000005,B,CA,John Davis,169
shot,gun,False,attack,Not fleeing,False,True,Tucson,22.5,Orlando,M,-109.7919,34.0299,W,CA,Luis Fuller,170
shot,,False,attack,Car,False,True,Newport News,23.4,Oklahoma City,M,-100.8684,30.115800000000004,B,CA,Javier Chambers,171
shot,unarmed,True,other,Not fleeing,False,True,Avon,26.1,Lubbock,M,-77.95349999999999,31.3227,W,CA,Amanda Huber,172
shot,gun,False,attack,Not fleeing,False,True,Lubbock,34.2,Ashville,M,-83.9142,34.8345,W,CA,Jason Gould,173
shot,gun,False,attack,Not fleeing,False,True,Flagstaff,27.0,Atlanta,M,-100.6452,36.567,B,CA,Larry Kline,174
shot,gun,False,attack,Not fleeing,False,True,Seaside,16.2,Los Angeles,M,-75.0123,38.0151,W,CA,Christina Morgan,175
shot,gun,False,attack,Not fleeing,True,True,Morris,25.2,Houston,M,-86.3937,32.481,W,CA,Brian Smith,176
shot,gun,False,attack,Not fleeing,False,True,Holly Hill,20.7,Phoenix,M,-110.4975,40.5045,W,CA,Olivia Perry,177
shot,knife,False,attack,Not fleeing,True,True,Stockton,14.4,Los Angeles,M,-107.5392,41.6367,W,CA,Julie Wilson DDS,178
shot,sword,True,other,Car,False,True,Miami,39.6,Albuquerque,M,-72.9801,28.8513,W,CA,Brooke Deleon,179
shot,,False,other,Not fleeing,False,True,Lake Hallie,18.9,Jacksonville,M,-106.3539,30.4875,W,CA,James Price,180
shot,gun,True,attack,Not fleeing,False,True,New Orleans,14.4,Albuquerque,M,-80.4204,38.7639,W,CA,Michael Dunn,181
shot,gun,False,attack,Not fleeing,False,True,Noble County,31.5,Arlington,M,-79.371,31.3308,W,CA,Dwayne Stone,182
shot,toy weapon,True,attack,Not fleeing,False,True,Nelson Township,32.4,Phoenix,M,-77.2911,38.1267,W,CA,Robert Morgan,183
shot,gun,False,attack,Not fleeing,False,True,Columbus,27.0,Houston,M,-109.1916,34.7832,W,CA,Riley Sanchez,184
shot,gun,True,attack,Not fleeing,False,True,Orlando,20.7,Los Angeles,M,-70.2882,34.669799999999995,W,CA,Erik Thomas,185
shot,,False,other,Not fleeing,False,True,Los Angeles,51.3,Los Angeles,M,-106.3251,30.6135,H,CA,Kayla Anthony,186
shot,unarmed,True,other,Not fleeing,False,True,Sugar Creek,16.2,Phoenix,M,-72.405,24.8535,H,CA,Jordan Sanchez,187
shot,gun,False,other,Other,False,True,St. Louis,38.7,Los Angeles,M,-73.9845,37.2978,B,CA,Matthew Fleming,188
shot,gun,False,attack,Not fleeing,False,True,Reseda,35.1,San Antonio,M,-84.9888,28.2375,W,CA,Michael Blanchard,189
shot,knife,False,attack,Not fleeing,False,True,Oklahoma City,56.7,Los Angeles,M,-72.78840000000001,31.858200000000004,B,CA,Andres Herrera,190
shot,unarmed,False,other,Foot,False,True,St. Louis,32.4,Phoenix,M,-78.588,37.4193,W,CA,Angela Cooley,191
shot,knife,False,other,Not fleeing,False,True,Fort Walton Beach,24.3,Lubbock,M,-72.57690000000001,25.2252,W,CA,Vickie Ray,192
shot,gun,False,attack,Car,False,True,Silverton,33.3,Phoenix,M,-106.6113,30.8115,W,CA,Jessica Mccullough,193
shot,gun,True,attack,Not fleeing,False,True,Orange Park,33.3,Los Angeles,M,-80.93700000000001,31.682700000000004,W,CA,Isabel Anderson,194
shot,machete,False,other,Not fleeing,False,True,Los Angeles,40.5,Phoenix,M,-110.1681,42.5097,W,CA,Lisa Hoffman,195
shot,gun,True,attack,Not fleeing,False,True,Orlando,32.4,Los Angeles,M,-95.9031,31.572,W,CA,Jose Williams,196
shot,gun,True,attack,Not fleeing,False,True,Capitol Heights,20.7,Los Angeles,M,-84.3867,37.4292,W,CA,Kenneth Thomas,197
shot,gun,True,attack,Not fleeing,False,True,Los Angeles,36.9,Los Angeles,M,-109.8216,33.8112,W,CA,Rebecca Peters,198
shot,gun,False,attack,Foot,False,True,Shreveport,64.8,Bakersfield,M,-86.9985,31.303799999999995,W,CA,Stephanie Patrick,199
shot,vehicle,True,other,Not fleeing,False,True,Silver Spring,62.1,Phoenix,M,-79.0749,27.3789,H,CA,Michael Simmons,200
shot,gun,True,attack,Not fleeing,False,True,Blair,27.9,Chicago,M,-79.11359999999999,38.671200000000006,H,CA,Mr. Michael Jones,201
shot,unarmed,False,other,Car,False,True,Indian Wells,38.7,Los Angeles,M,-73.51650000000001,25.956,W,CA,Kristi Stewart,202
shot,gun,False,attack,Not fleeing,False,True,Tamarac,38.7,Los Angeles,M,-81.7416,39.5478,B,CA,Benjamin Diaz,203
shot,gun,False,attack,Not fleeing,False,True,Omaha,41.4,Los Angeles,M,-87.0453,29.4417,B,CA,Victor Murphy,204
shot,knife,False,other,Not fleeing,False,True,Montesano,35.1,San Antonio,M,-108.8523,33.8256,W,CA,Melissa Greer,205
shot,box cutter,True,other,Not fleeing,True,True,Wyoming,36.9,Los Angeles,M,-84.0051,34.8201,W,CA,Nicole Campbell,206
shot,unarmed,False,attack,Not fleeing,False,True,Wichita,34.2,Phoenix,M,-107.802,33.1758,W,CA,John Torres,207
shot,gun,False,attack,Not fleeing,True,True,North Manchester,53.1,San Antonio,M,-86.3604,37.0611,W,CA,Richard Jackson,208
